"Municipio","Ano","Ranking"
"Pitalito","2014",1
"Rivera","2014",26.5
"Saladoblanco","2014",26.5
"San Agustín","2014",12
"Santa Maria","2014",7.5
"Suaza","2014",12
"Tarqui","2014",12
"Tello","2014",12
"Teruel","2014",26.5
"Tesalia","2014",26.5
"Timaná","2014",26.5
"Villavieja","2014",26.5
"Yaguará","2014",26.5
